movie_info_ID,title,year,imdb_score,original_language,budget,revenue,country
5284,Nine 1/2 Weeks (1986),1986,61,English,18000000,6734844,AU
5285,A Frozen Flower (2008),2008,69,Korean,10000000,18980744,KR
5286,The Third Man (1950),1950,80,English,28634530,1226098,AU
5287,Erotic Nightmare (1999),1999,54,Cantonese,130800000,249577615,HK
5288,Troll Hunter (2010),2010,67," Bokmål, Norwegian, Norwegian Bokmål",3500000,4159678,NO
5289,Balto II: Wolf Quest (2002),2002,63,English,112800000,520553499,US
5290,The Land Before Time: The Great Valley Adventure (1994),1994,63,English,131400000,262387752,US
5291,Wheels on Meals (1984),1984,69,Cantonese,107800000,578253582,HK
5292,Trick 'r Treat (2022),2022,70,English,12000000,164744751,US
5293,Dracula 2000 (2000),2000,52,English,28000000,33000377,US
5294,Into the Blue 2: The Reef (2010),2010,53,English,88800000,303573685,AU
5295,The Disappearance of Haruhi Suzumiya (2010),2010,77,Japanese,123000000,709727102,JP
5296,Gia (1998),1998,71,English,122200000,503388911,US
5297,Better Days (2019),2019,83,Chinese,9919000,225879065,CN
5298,Problem Child (1990),1990,60,English,10000000,72000000,US
5299,Chained - The Seduction of Two Women (2017),2017,60,Korean,140200000,132578310,KR
5300,Believe Me: The Abduction of Lisa McVey (2018),2018,81,English,67980000,1046659332,US
5301,Tenacious D in The Pick of Destiny (2007),2007,67,English,22000000,13405595,AU
5302,V/H/S (2012),2012,61,English,9500000,100345,US
5303,Pompeii (2014),2014,55,English,80000000,108469033,AU
5304,The Green Knight (2021),2021,66,English,15000000,20022491,AU
5305,Haunting of the Mary Celeste (2020),2020,54,English,130800000,249577615,US
5306,How to Build a Better Boy (2014),2014,64,English,89000000,319022322,US
5307,Outbreak (1995),1995,65,English,50000000,190023573,AU
5308,Chronicles of the Ghostly Tribe (2015),2015,59,Chinese,19600000,99849421,CN
5309,Buzz Lightyear of Star Command: The Adventure Begins (2000),2000,64,English,135800000,334269573,US
5310,Cop Land (1998),1998,68,English,15000000,63706632,AU
